month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state_region,township,village_tract_town,village_ward,idp_camp_site_name,specify_location_if_the_the_location_is_not_in_the_list,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,fsc_main_activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,number_child_male,number_child_female,number_adult_male,number_adult_female,number_elderly_male,number_elderly_female,number_of_reached_households,number_of_reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Chaik Taung,San Htoe Tan (Mus),NA,NA,"Chaik TaungSan Htoe Tan (Mus)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,1768000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Host/local Community,21,21,21,21,10,10,27,104,104,1.04,1.56,2.6,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Chaik Taung,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Chaik Taung,San Htoe Tan (Rak),NA,NA,"Chaik TaungSan Htoe Tan (Rak)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,2465000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Host/local Community,29,29,29,29,15,14,45,145,145,1.45,2.175,3.625,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Chaik Taung,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Ann Thar,Set Yone Maw,NA,NA,"Ann TharSet Yone Mawfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,357000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Host/local Community,4,4,4,4,2,3,9,21,21,0.21,0.315,0.525,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Ann Thar,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Ann,Ann (South),NA,Pe Pa Don (Zay Taung Quarter)Camp,NA,"Ann (South)Pe Pa Don (Zay Taung Quarter)Campfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,4112000,NA,16000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,51,51,51,51,26,27,59,257,257,2.57,3.855,6.425,NA,NA,NA,MMR012,NA,MMR012014,Rakhine-Ann,Ann-Ann (South),org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Ann,Ann (South),NA,Sport Hall,NA,"Ann (South)Sport Hallfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,15232000,NA,16000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,190,190,190,190,95,97,193,952,952,9.52,14.28,23.799999999999997,NA,NA,NA,MMR012,NA,MMR012014,Rakhine-Ann,Ann-Ann (South),org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Ann,Ann (South),NA,Kan Deik Monastry,NA,"Ann (South)Kan Deik Monastryfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,1552000,NA,16000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,19,19,19,19,10,11,20,97,97,0.97,1.4549999999999998,2.425,NA,NA,NA,MMR012,NA,MMR012014,Rakhine-Ann,Ann-Ann (South),org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar ward,Mahar Kan Gyi Shin (City Hall),NA,"Kyauktaw TownPyi Taw Thar wardMahar Kan Gyi Shin (City Hall)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,7429000,NA,17000,MMK,NA,E-transfer,NA,NA,NA,Internally Displaced,87,87,87,87,44,45,119,437,437,4.37,6.555,10.925,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kan Sauk,Kan Sauk,Kan Sauk,NA,"Kan SaukKan SaukKan Saukfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,3672000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,43,43,43,43,22,22,51,216,216,2.16,3.2399999999999998,5.4,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kan Sauk,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar ward,Mahar Kan Gyi Shin (Thein Pyin),NA,"Kyauktaw TownPyi Taw Thar wardMahar Kan Gyi Shin (Thein Pyin)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,6647000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,78,78,78,78,39,40,94,391,391,3.91,5.865,9.775,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Taung Min Ku Lar,Taung Min Kalar,Taung Min Kalar,NA,"Taung Min Ku LarTaung Min KalarTaung Min Kalarfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,8313000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,98,98,98,98,49,48,94,489,489,4.89,7.335,12.225,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Taung Min Ku Lar,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kha Maung Taw,War Taung,War Taung,NA,"Kha Maung TawWar TaungWar Taungfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,16762000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,197,197,197,197,99,99,177,986,986,9.86,14.79,24.65,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kha Maung Taw,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar ward,"Pyi Taw Thar ward, (COC)",NA,"Kyauktaw TownPyi Taw Thar wardPyi Taw Thar ward, (COC)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,5338000,NA,17000,MMK,NA,E-transfer,NA,NA,NA,Internally Displaced,63,63,63,63,31,31,82,314,314,3.14,4.71,7.85,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar ward,Train Station,NA,"Kyauktaw TownPyi Taw Thar wardTrain Stationfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,21233000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,250,250,250,250,125,124,324,1249,1249,12.49,18.735,31.225,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Shan Ywar Ward,Nay Pu Khan,NA,"Kyauktaw TownShan Ywar WardNay Pu Khanfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,29529000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,347,347,347,347,174,175,392,1737,1737,17.37,26.055,43.425,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Shan Ywar Ward,Hman Kyaung,NA,"Kyauktaw TownShan Ywar WardHman Kyaungfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,2074000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,24,24,24,24,12,14,39,122,122,1.22,1.8299999999999998,3.05,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar ward,Kawi Yadanar,NA,"Kyauktaw TownPyi Taw Thar wardKawi Yadanarfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,15912000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,187,187,187,187,94,94,233,936,936,9.36,14.04,23.4,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Myo Thit Ward,Myo Ma Shwe Kyaung,NA,"Kyauktaw TownMyo Thit WardMyo Ma Shwe Kyaungfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,8653000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,102,102,102,102,51,50,124,509,509,5.09,7.635,12.725,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Shan Ywar Ward,Shan Ywar Monastery,NA,"Kyauktaw TownShan Ywar WardShan Ywar Monasteryfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,2295000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,27,27,27,27,14,13,43,135,135,1.35,2.025,3.375,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Shan Ywar Ward,Thein Kyaung Monastery,NA,"Kyauktaw TownShan Ywar WardThein Kyaung Monasteryfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,1887000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,22,22,22,22,11,12,28,111,111,1.11,1.665,2.7750000000000004,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar ward,Mahar Kan Gyi Shin,NA,"Kyauktaw TownPyi Taw Thar wardMahar Kan Gyi Shinfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,10200000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,120,120,120,120,60,60,145,600,600,6,9,15,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Kyauktaw Town,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Kyauktaw,Nyaung Chaung,Nyaung Chaung,Nyaung Chaung,NA,"Nyaung ChaungNyaung ChaungNyaung Chaungfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,50694000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,596,596,596,596,298,300,693,2982,2982,29.82,44.73,74.55,NA,NA,NA,MMR012,NA,MMR012004,Rakhine-Kyauktaw,Kyauktaw-Nyaung Chaung,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,San Bar Lay,Thay Kan,Thay Kan,NA,"San Bar LayThay KanThay Kanfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,2091000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,25,25,25,25,12,11,26,123,123,1.23,1.845,3.075,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-San Bar Lay,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Kin Seik,Tha Htay Kone,Tha Htay Kone,NA,"Kin SeikTha Htay KoneTha Htay Konefood distributions (in kind/voucher/cash), severe",Village,Urban/Peri-Urban,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,1666000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,20,20,20,20,10,8,22,98,98,0.98,1.47,2.45,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Kin Seik,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Pale Pauk,Palay Pauk,Palay Pauk,NA,"Pale PaukPalay PaukPalay Paukfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,476000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,6,6,6,6,3,1,7,28,28,0.28,0.42,0.7,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Pale Pauk,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,San Bar Lay,Ann Thar,Ann Thar,NA,"San Bar LayAnn TharAnn Tharfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,646000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,8,8,8,8,4,2,7,38,38,0.38,0.57,0.95,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-San Bar Lay,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Na Yan,Na Yan (Dhamar Yone),Na Yan (Dhamar Yone),NA,"Na YanNa Yan (Dhamar Yone)Na Yan (Dhamar Yone)food distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,663000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,8,8,8,8,4,3,10,39,39,0.39,0.585,0.975,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Na Yan,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Na Yan,Na Yan Monastey,Na Yan Monastey,NA,"Na YanNa Yan MonasteyNa Yan Monasteyfood distributions (in kind/voucher/cash), severe",Village,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,272000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,3,3,3,3,2,2,3,16,16,0.16,0.24,0.4,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Na Yan,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Minbya,Min Zi,War Taung,War Taung,NA,"Min ZiWar TaungWar Taungfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,2788000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,33,33,33,33,16,16,31,164,164,1.6400000000000001,2.46,4.1,NA,NA,NA,MMR012,NA,MMR012005,Rakhine-Minbya,Minbya-Min Zi,org_2690,org_2690
January 2022,NA,UN agency,UN agency,Rakhine,Mrauk-U,Phra Hla,Phra Hla,Phra Hla,NA,"Phra HlaPhra HlaPhra Hlafood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,NA,NA,"food distributions (in kind/voucher/cash), severe",Relief: Activity 1,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Ongoing,Unconditional,Monthly,CBT/CVA,NA,NA,NA,15368000,NA,17000,MMK,NA,Direct cash payment,NA,NA,NA,Internally Displaced,181,181,181,181,90,90,217,904,904,9.040000000000001,13.559999999999999,22.6,NA,NA,NA,MMR012,NA,MMR012003,Rakhine-Mrauk-U,Mrauk-U-Phra Hla,org_2690,org_2690
